"logFC" "logCPM" "PValue" "FDR"
"FAM178B" 1.58858558818079 5.4107570403173 0.000946939057810207 0.253789652650685
"MMP2" -1.60304031637584 6.7375628472209 0.00095023832803162 0.253789652650685
"CASP8AP2" -1.59472514811328 7.12638755485065 0.00100713285591363 0.265445766273762
"NUDT10" 1.58254188832206 5.08025336823299 0.00102650910898579 0.267039012494731
"CFAP47" 1.58786828780561 6.73545438529794 0.00105730577441646 0.271524255991488
"SIGLEC1" -1.71682771038457 -0.325198421095358 0.00111164517702039 0.281865373935384
"YTHDF1" 1.58423254256679 4.71731732488837 0.00114813203194452 0.287477909148509
"SYT14" 1.59818517573264 2.29055396668214 0.0011737833036902 0.289486224210898
"SERPINI1" -1.55753216846519 5.17415454610417 0.00120180951998298 0.289486224210898
"GRK1" 1.55685725066611 5.19613521163187 0.00120518926220855 0.289486224210898
"C1QTNF6" 1.56237797613586 6.09576133600571 0.00121396050290627 0.289486224210898
"KCNE4" 1.55349638891751 5.78755230958906 0.00123238817562368 0.290423147599034
"NUB1" 1.56173623213247 6.45892228472937 0.00126726418126075 0.295169404823651
"CEP19" 1.55228227357847 3.4409973010992 0.00137940692879925 0.316653647684885
"CTD-2561J22.3" 1.5472852623449 6.35315978364653 0.00139111981410164 0.316653647684885
"EGFR" 1.52883045013348 5.74819113071043 0.00146134866568058 0.326328510407568
"LY6G6F" -1.55774006277271 2.57894521102256 0.00147370620798791 0.326328510407568
"STAP2" -1.52460500700328 5.23251253600418 0.0014955522704907 0.326328510407568
"KCNT2" -1.53637124757301 4.89934319851334 0.00149878802643384 0.326328510407568
"PFKP" -1.51924142579692 5.41166289112493 0.00153466335221508 0.330546683959358
"PRKAR1A" -1.84223173277277 -1.46593890120652 0.00164707451028482 0.350984569313991
"ITGA11" 1.51030709993849 7.35300758227013 0.00180196922260305 0.379949952610123
"CEMIP" -1.49596158021056 5.65145795806829 0.00182622321340131 0.381052887371267
"LRRC41" -1.49138005217032 5.81460889461307 0.00188596535072391 0.388666384592768
"LRRC55" -1.50119985357424 3.6707052222179 0.00190151793171041 0.388666384592768
"KANK2" 1.47883783659886 5.34606978258678 0.00201458261449603 0.407617215666364
"NPL" -1.47204104448118 5.81056562663011 0.00214828498508742 0.428139091288437
"LAMB4" -1.48216863222794 3.59244591325136 0.00215875633868165 0.428139091288437
"BMP4" -1.47078173966964 6.56023554953189 0.00234134693623907 0.459799220390244
"RAE1" 1.46614057390988 7.3134527370761 0.00241724170085522 0.461544833822504
"FGF12" -1.55621766624266 0.174120335080594 0.00242788587019215 0.461544833822504
"PLXNB3" 1.46954379035625 3.34337529551546 0.00243207324692658 0.461544833822504
"EMC9" 1.48403746583368 2.63987564257029 0.00244240189631997 0.461544833822504
"ZSCAN4" 1.45004730709186 5.57033494313366 0.00247901054901754 0.464084675769817
"CHMP7" -1.44805076668607 5.57599861799564 0.00251007093776647 0.465548434762964
"MAP4K5" 1.4689061269066 3.1064555817382 0.00254235552926947 0.467210308319236
"BCKDHB" 1.44857542952307 6.12201411273387 0.00263390873240827 0.479634780171546
"KRT4" 1.49874934455899 1.25455888416736 0.00273346457268151 0.48915375043902
"ZCCHC10" 1.46772869790809 2.37121081627559 0.00275218974465609 0.48915375043902
"ADGRD2" 1.48308953325259 1.68093371126205 0.00275944155556933 0.48915375043902
